mcd,pop2010,changePop,pop2020,emp2010,changeEmp,emp2020
Salford,2504,7.71,2697,604,4.14,629
Upper Salford,3299,4.91,3461,1001,2.70,1028
Marlborough,3178,4.15,3310,742,4.18,773
Green Lane,508,0.39,510,263,0.76,265
Upper Hanover,6464,15.52,7467,4197,5.84,4442
Red Hill,2383,1.30,2414,600,1.17,607
Pennsburg,3843,2.47,3938,1458,2.54,1495
East Greenville,2951,1.29,2989,623,1.12,630
Douglass,10195,7.97,11008,3339,12.91,3770
New Hanover,10939,12.31,12286,1753,5.99,1858
Upper Frederick,3523,5.76,3726,801,3.37,828
Lower Frederick,4840,4.07,5037,859,4.19,895
Limerick,18074,6.04,19166,9962,6.08,10568
Lower Pottsgrove,12059,3.11,12434,4484,4.10,4668
Pottstown,23964,2.14,24478,11607,2.37,11882
Upper Pottsgrove,5315,7.00,5687,1229,3.91,1277
West Pottsgrove,2287,1.62,2324,266,5.64,281
Bensalem,57226,2.47,58641,36405,2.50,37316
Bristol,64308,2.44,65879,26947,2.24,27551
Hulmeville,1003,4.69,1050,257,4.67,269
Penndel,2328,0.52,2340,1455,4.81,1525
Langhorne Manor,1442,-0.83,1430,506,3.95,526
Langhorne,1622,-0.12,1620,1264,2.85,1300
Lower Southampton,18909,-1.26,18670,11526,0.95,11636
Upper Southampton,15152,0.38,15210,9829,0.59,9887
Warminster,32682,7.86,35250,14930,7.72,16083
Ivyland,1041,8.55,1130,1366,8.49,1482
Warrington,23418,11.20,26041,8128,2.35,8319
Chalfont,4009,1.77,4080,1117,3.94,1161
New Britain,14222,3.22,14680,7132,2.73,7327
Hilltown,15029,10.06,16541,6291,3.07,6484
Silverdale,871,1.03,880,300,1.33,304
East Rockhill,5706,9.34,6239,1914,9.40,2094
Perkasie,8511,1.05,8600,2893,3.11,2983
Sellersville,4249,0.02,4250,1086,-2.49,1059
West Rockhill,5256,16.46,6121,5034,5.68,5320
Milford,9902,14.42,11330,3794,5.54,4004
Trumbauersville,974,0.62,980,495,1.62,503
Richland,13052,14.16,14900,5912,13.97,6738
Quakertown,8979,-0.66,8920,4927,1.42,4997
Richlandtown,1327,-0.53,1320,271,6.64,289
Haycock,2225,6.52,2370,474,6.12,503
Durham,1144,1.40,1160,231,0.87,233
Riegelsville,868,3.69,900,131,2.29,134
Nockamixon,3441,6.34,3659,1440,6.18,1529
Bridgeton,1277,-0.55,1270,228,0.44,229
Bedminster,6574,12.40,7389,1856,12.23,2083
Dublin,2158,1.02,2180,757,0.92,764
Plumstead,12442,13.90,14172,6315,4.28,6585
Solebury,8692,6.43,9251,3171,3.09,3269
New Hope,2528,5.62,2670,2396,2.21,2449
Buckingham,20075,9.79,22040,7020,2.71,7210
Doylestown,25945,3.87,26950,19191,3.99,19957
Northampton,39726,2.88,40869,12044,1.49,12223
Wrightstown,2995,9.52,3280,1375,2.98,1416
Upper Makefield,8190,11.37,9121,2250,2.89,2315
Lower Makefield,32559,1.57,33070,10060,1.46,10207
Yardley,2434,1.07,2460,1779,2.81,1829
Morrisville,8728,0.02,8730,3167,2.15,3235
Falls,34300,-0.43,34151,15183,2.48,15560
Tullytown,1872,0.96,1890,2288,3.54,2369
Trenton City,84913,0.50,83431,71754,-1.93,70367
Hamilton Township,88464,0.81,89177,43567,0.98,43995
Lawrence Township,33472,0.48,33634,27756,4.47,28997
Ewing Township,35790,1.23,36232,21112,6.59,22503
Hopewell Township,17304,2.43,17724,13179,13.77,14994
Hopewell Borough,1922,-0.10,1920,970,0.41,974
Pennington Borough,2585,1.86,2633,1737,2.13,1774
Princeton Borough,12307,1.72,12519,13431,-10.62,12004
Princeton Township,16265,1.40,16492,11744,1.38,11906
West Windsor Tow,27165,1.42,27550,36991,4.06,38492
Robbinsville Tow,13642,3.97,14184,5371,6.03,5695
East Windsor Township,27190,1.58,27620,16556,2.05,16896
Hightstown Borough,5494,0.44,5518,2654,0.57,2669
Palmyra Borough,7398,-0.38,7370,1902,-0.26,1897
Riverton Borough,2779,0.07,2781,738,-0.14,737
Cinnaminson Township,15569,0.41,15633,9387,0.47,9431
Maple Shade Township,19131,0.47,19220,6143,0.39,6167
Moorestown Township,20726,1.93,21127,28053,1.76,28547
Delran Township,16896,0.34,16954,6202,0.63,6241
Riverside Township,8079,1.47,8198,1571,1.40,1593
Delanco Township,4283,3.78,4445,1064,3.76,1104
Beverly City,2577,3.96,2679,444,5.63,469
Edgewater Park Township,8881,1.75,9036,2432,1.77,2475
Burlington Township,22594,1.04,22830,14854,0.79,14971
Burlington City,9920,0.54,9974,4708,0.30,4722
Florence Township,12109,4.53,12657,2935,21.40,3563
Mansfield Township,8544,6.45,9095,2401,6.50,2557
Bordentown Township,11367,1.39,11525,5468,1.87,5570
Fieldsboro Borough,540,1.30,547,82,0.00,82
Bordentown City,3924,0.18,3931,1535,-19.28,1239
Chesterfield Township,7699,2.26,7873,807,2.11,824
North Hanover Township,7678,5.35,8089,1500,-0.20,1497
New Hanover Township,7385,0.16,7397,2894,-13.65,2499
Wrightstown Borough,802,2.99,826,574,-18.47,468
Pemberton Township,27912,2.00,28471,7557,-0.04,7554
Pemberton Borough,1409,0.21,1412,497,0.20,498
Springfield Township,3414,5.74,3610,1142,5.52,1205
Eastampton Township,6069,3.08,6256,993,3.12,1024
Mount Holly Township,9536,0.51,9585,6617,0.51,6651
Westampton Townsship,8813,4.95,9249,8905,4.91,9342
Willingboro Township,31629,1.99,32257,8760,1.74,8912
Mount Laurel Township,41864,1.87,42647,31647,1.82,32223
Hainesport Township,6110,5.94,6473,2937,5.14,3088
Lumberton Township,12559,5.75,13281,6114,5.41,6445
Southampton Township,10464,0.17,10482,3511,-0.03,3510
Woodland Township,1788,0.11,1790,386,0.00,386
Bass River Township,1443,0.21,1446,1518,0.13,1520
Washington Township,42224,2.85,43427,16937,2.73,17399
Tabernacle Township,6949,0.17,6961,1920,0.21,1924
Shamong Township,6490,0.18,6502,1428,0.21,1431
Medford Township,23033,3.06,23737,11518,2.93,11855
Medford Lakes Borough,4146,0.19,4154,703,0.43,706
Evesham Township,45538,0.87,45935,26041,0.79,26247
Camden City,77344,0.20,77501,51500,2.30,52683
Pennsauken Towns,35885,0.16,35944,25974,1.77,26434
Merchantville Borough,3821,0.05,3823,1399,0.14,1401
Cherry Hill Town,71045,0.07,71095,63269,-0.08,63219
Haddon Township,14707,0.29,14749,3344,0.42,3358
Woodlynne Borough,2978,0.17,2983,332,0.60,334
Collingswood Borough,13926,-0.64,13837,6167,0.00,6167
Oaklyn Borough,4038,-0.15,4032,721,0.00,721
Audubon Park Borough,1023,-0.88,1014,25,0.00,25
Gloucester City,11456,0.05,11462,3920,0.43,3937
Brooklawn Borough,1955,0.10,1957,1152,0.00,1152
Mount Ephraim Borough,4676,-0.04,4674,950,0.11,951
Audubon Borough,8819,-0.32,8791,2066,-0.29,2060
Haddon Heights Borough,7473,-0.19,7459,3235,0.03,3236
Haddonfield Boroough,11593,0.26,11623,6686,0.27,6704
Lawnside Borough,2950,-0.37,2939,1791,-0.34,1785
Barrington Borough,6983,-0.20,6969,2249,-0.22,2244
Bellmawr Borough,11583,0.10,11595,5093,9.88,5596
Runnemede Borough,8468,-0.11,8459,3350,-0.06,3348
Magnolia Borough,4341,-0.14,4335,1005,-0.10,1004
Somerdale Borough,5151,0.14,5158,1639,54.91,2539
Voorhees Township,29131,0.99,29420,19276,0.99,19466
Gibbsboro Borough,2274,-0.09,2272,2477,0.81,2497
Lindenwold Borough,17613,0.28,17663,2925,0.48,2939
Laurel Springs Borough,1908,-0.16,1905,357,0.28,358
Stratford Borough,7040,-0.01,7039,6462,-0.03,6460
Hi-Nella Borough,870,0.11,871,197,1.02,199
Gloucester Township,71656,1.54,72759,19184,1.44,19461
Pine Valley Borough,12,0.00,12,182,0.00,182
Clementon Boroug,5000,0.02,5001,1656,2.54,1698
Berlin Borough,7588,0.49,7625,5009,0.42,5030
Berlin Township,5357,0.34,5375,6775,0.41,6803
Waterford Township,10649,1.21,10778,3378,1.33,3423
Chesilhurst Borough,1634,-0.37,1628,318,0.00,318
Winslow Township,39499,2.30,40408,9878,2.27,10102
West Deptford Township,25965,4.54,27144,14293,4.55,14943
National Park Borough,3036,1.71,3088,447,2.01,456
Paulsboro Borough,6097,1.00,6158,2275,1.01,2298
Greenwich Township,4899,1.67,4981,2250,1.78,2290
East Greenwich Township,9555,4.29,9965,2160,4.12,2249
Mantua Township,15217,8.31,16482,5416,8.29,5865
Wenonah Borough,2278,2.72,2340,495,2.63,508
Woodbury Heights,3055,1.37,3097,1209,1.41,1226
Woodbury City,10174,0.78,10253,8851,0.08,8858
Deptford Township,30561,3.30,31568,15075,3.24,15563
Pitman Borough,9011,2.09,9199,3543,2.03,3615
Glassboro Borough,18579,6.17,19725,7402,6.15,7857
Clayton Borough,8179,6.26,8691,2047,6.30,2176
Monroe Township,36129,7.08,38686,10574,7.20,11335
Franklin Township,16820,6.12,17849,3832,5.82,4055
Newfield Borough,1553,1.67,1579,410,1.71,417
Elk Township,4216,13.16,4771,1107,12.92,1250
Harrison Township,12417,11.73,13873,2775,11.68,3099
South Harrison Township,3162,8.10,3418,723,8.16,782
Woolwich Township,10200,23.08,12554,2630,22.93,3233
Swedesboro Borough,2584,2.75,2655,1382,2.75,1420
Logan Township,6042,3.81,6272,8667,4.72,9076
Colebrookdale,0,#DIV/0!,0,0,#DIV/0!,0
Boyertown,0,#DIV/0!,0,0,#DIV/0!,0
Pine Hill Borough,10233,1.63,10400,1531,0.85,1544
